timestamp,band,channel,center_hz,sample_rate,nsamp,rel_power_dbfs
1756600647,2.4GHz,1,2412000000,20000000,2000000,0.00
1756600648,2.4GHz,2,2417000000,20000000,2000000,0.00
1756600649,2.4GHz,3,2422000000,20000000,2000000,0.00
1756600649,2.4GHz,4,2427000000,20000000,2000000,0.00
1756600650,2.4GHz,5,2432000000,20000000,2000000,0.00
1756600651,2.4GHz,6,2437000000,20000000,2000000,0.00
1756600651,2.4GHz,7,2442000000,20000000,2000000,0.00
1756600652,2.4GHz,8,2447000000,20000000,2000000,0.00
1756600653,2.4GHz,9,2452000000,20000000,2000000,0.00
1756600653,2.4GHz,10,2457000000,20000000,2000000,0.00
1756600654,2.4GHz,11,2462000000,20000000,2000000,0.00
1756600655,2.4GHz,12,2467000000,20000000,2000000,0.00
1756600655,2.4GHz,13,2472000000,20000000,2000000,0.00
