timestamp,band,channel,center_hz,sample_rate,nsamp,rel_power_dbfs
1756606539,2.4GHz,1,2412000000,20000000,4000000,-28.31
1756606540,2.4GHz,2,2417000000,20000000,4000000,-27.78
1756606541,2.4GHz,3,2422000000,20000000,4000000,-28.53
1756606542,2.4GHz,4,2427000000,20000000,4000000,-17.30
1756606542,2.4GHz,5,2432000000,20000000,4000000,-28.84
1756606543,2.4GHz,6,2437000000,20000000,4000000,-27.53
1756606544,2.4GHz,7,2442000000,20000000,4000000,-25.78
1756606545,2.4GHz,8,2447000000,20000000,4000000,-28.25
1756606546,2.4GHz,9,2452000000,20000000,4000000,-27.46
1756606547,2.4GHz,10,2457000000,20000000,4000000,-28.43
1756606547,2.4GHz,11,2462000000,20000000,4000000,-28.35
1756606548,2.4GHz,12,2467000000,20000000,4000000,-29.29
1756606549,2.4GHz,13,2472000000,20000000,4000000,-28.68
