zb_channel,center_hz,avg_power_dbfs
26,2480000000,-34.34
25,2475000000,-34.58
23,2465000000,-34.67
22,2460000000,-34.68
24,2470000000,-34.78
21,2455000000,-35.09
19,2445000000,-35.54
20,2450000000,-35.63
12,2410000000,-35.67
13,2415000000,-35.67
15,2425000000,-35.68
14,2420000000,-35.70
16,2430000000,-35.75
18,2440000000,-35.95
11,2405000000,-36.58
17,2435000000,-36.60
